iter	Passed	Remaining
0	42	126901
1	86	128960
2	133	133314
3	181	136079
4	227	136393
5	271	135513
6	313	133959
7	359	134300
8	406	134978
9	450	134627
10	494	134473
11	538	134074
12	583	134133
13	628	134021
14	674	134264
15	718	134003
16	764	134157
17	810	134223
18	852	133709
19	896	133598
20	945	134080
21	990	134024
22	1040	134612
23	1086	134705
24	1133	134889
25	1180	135031
26	1224	134847
27	1267	134541
28	1314	134646
29	1361	134793
30	1413	135369
31	1459	135382
32	1506	135456
33	1550	135233
34	1594	135048
35	1638	134920
36	1678	134428
37	1724	134410
38	1773	134617
39	1816	134385
40	1859	134217
41	1901	133907
42	1944	133712
43	1988	133597
44	2033	133533
45	2077	133412
46	2123	133419
47	2172	133596
48	2222	133852
49	2266	133746
50	2310	133592
51	2355	133557
52	2404	133725
53	2456	134030
54	2500	133909
55	2532	133154
56	2583	133403
57	2626	133242
58	2674	133303
59	2720	133308
60	2768	133390
61	2813	133325
62	2857	133213
63	2901	133115
64	2948	133129
65	2992	133036
66	3036	132941
67	3080	132820
68	3126	132813
69	3171	132748
70	3215	132634
71	3261	132616
72	3306	132578
73	3348	132390
74	3396	132458
75	3445	132557
76	3496	132735
77	3541	132682
78	3586	132625
79	3632	132588
80	3678	132578
81	3726	132622
82	3769	132494
83	3814	132425
84	3861	132412
85	3905	132337
86	3952	132355
87	3995	132230
88	4042	132216
89	4087	132153
90	4128	131985
91	4170	131811
92	4217	131830
93	4262	131783
94	4311	131846
95	4359	131885
96	4408	131938
97	4451	131830
98	4496	131765
99	4540	131678
100	4585	131620
101	4628	131509
102	4671	131392
103	4711	131193
104	4763	131345
105	4804	131181
106	4848	131081
107	4890	130946
108	4936	130920
109	4979	130831
110	5024	130780
111	5068	130707
112	5112	130624
113	5155	130516
114	5198	130417
115	5243	130362
116	5290	130361
117	5334	130286
118	5379	130228
119	5424	130189
120	5472	130198
121	5516	130131
122	5562	130110
123	5605	130016
124	5651	129995
125	5695	129914
126	5739	129846
127	5787	129865
128	5848	130159
129	5906	130401
130	5953	130385
131	5999	130343
132	6046	130342
133	6091	130290
134	6135	130213
135	6180	130153
136	6227	130147
137	6271	130065
138	6317	130040
139	6362	129986
140	6409	129972
141	6457	129975
142	6501	129900
143	6545	129819
144	6593	129822
145	6641	129835
146	6686	129776
147	6729	129671
148	6776	129655
149	6820	129593
150	6863	129506
151	6908	129446
152	6954	129410
153	6997	129317
154	7040	129226
155	7083	129143
156	7128	129085
157	7170	128981
158	7212	128876
159	7255	128785
160	7300	128728
161	7341	128609
162	7383	128504
163	7426	128430
164	7477	128469
165	7524	128463
166	7570	128418
167	7614	128351
168	7665	128402
169	7709	128340
170	7753	128279
171	7798	128223
172	7844	128193
173	7888	128118
174	7932	128047
175	7974	127956
176	8020	127919
177	8062	127825
178	8107	127778
179	8151	127707
180	8203	127764
181	8252	127770
182	8296	127718
183	8343	127688
184	8390	127676
185	8436	127630
186	8482	127597
187	8524	127501
188	8570	127471
189	8612	127379
190	8657	127322
191	8698	127215
192	8740	127122
193	8761	126722
194	8802	126615
195	8843	126521
196	8888	126464
197	8939	126502
198	8986	126487
199	9032	126448
200	9077	126413
201	9120	126338
202	9164	126270
203	9209	126220
204	9256	126205
205	9302	126168
206	9344	126080
207	9385	125987
208	9430	125933
209	9478	125927
210	9521	125853
211	9565	125798
212	9611	125760
213	9652	125668
214	9696	125602
215	9743	125576
216	9793	125596
217	9837	125546
218	9875	125403
219	9918	125332
220	9964	125304
221	10009	125249
222	10052	125179
223	10096	125122
224	10143	125099
225	10187	125042
226	10231	124986
227	10279	124978
228	10327	124963
229	10372	124915
230	10416	124859
231	10461	124814
232	10506	124774
233	10556	124780
234	10608	124816
235	10656	124802
236	10702	124774
237	10747	124727
238	10796	124718
239	10842	124687
240	10887	124643
241	10931	124580
242	10973	124499
243	11014	124412
244	11059	124361
245	11098	124252
246	11143	124205
247	11185	124117
248	11232	124094
249	11276	124038
250	11318	123964
251	11360	123885
252	11403	123819
253	11449	123778
254	11495	123744
255	11545	123757
256	11593	123742
257	11643	123745
258	11690	123723
259	11736	123685
260	11783	123660
261	11830	123632
262	11874	123580
263	11918	123520
264	11966	123501
265	12009	123431
266	12050	123348
267	12090	123251
268	12134	123192
269	12176	123119
270	12218	123038
271	12260	122965
272	12308	122950
273	12351	122885
274	12395	122831
275	12439	122768
276	12490	122781
277	12533	122724
278	12579	122686
279	12624	122642
280	12671	122614
281	12713	122540
282	12758	122493
283	12801	122421
284	12851	122425
285	12896	122381
286	12939	122317
287	12982	122252
288	13028	122212
289	13074	122174
290	13118	122120
291	13159	122042
292	13205	122002
293	13247	121930
294	13289	121861
295	13335	121822
296	13383	121801
297	13427	121748
298	13471	121692
299	13516	121645
300	13561	121604
301	13608	121579
302	13653	121526
303	13696	121465
304	13743	121437
305	13787	121387
306	13835	121367
307	13888	121390
308	13938	121390
309	13984	121353
310	14028	121297
311	14071	121233
312	14118	121202
313	14163	121154
314	14208	121111
315	14249	121034
316	14306	121086
317	14358	121096
318	14404	121057
319	14453	121046
320	14503	121041
321	14549	121001
322	14593	120948
323	14636	120886
324	14683	120856
